"cycle_id","measure_time","measurement_row_n","prefix24_estimate_n","distinct_target_ip_estimate_n","structured_path_nonempty_row_n","reached_target_row_n","responded_hop_sum","star_hop_sum","target_hash_xor","target_hash_sum","measurement_hash_xor","measurement_hash_sum"
202406270028,"2024-06-26 16:28:49.000000",170854,42802,171267,170854,20788,1247082,238479,14087057409837824790,5398552893173243496,14091290664610847064,2728563806189248548
202406270128,"2024-06-26 17:28:49.000000",170817,42802,170215,170817,20628,1262052,244239,13590128285261180074,13376730117311878830,5749888445120409679,4621413458615482647
202406270228,"2024-06-26 18:28:49.000000",170857,42802,170501,170857,20698,1276981,245289,5507670811627165896,10668201470098214420,13075927442275034337,6077453625566887137
202406270328,"2024-06-26 19:28:49.000000",170907,42802,170987,170907,20577,1278247,244417,1561990205105864577,4828549352312174001,4812385620589910328,15568382976971609824
202406270428,"2024-06-26 20:28:49.000000",170812,42802,171227,170812,20675,1271274,247100,7553757850509480848,263583731464570014,9606966814339549290,12114678141765996500
202406270528,"2024-06-26 21:28:49.000000",170895,42802,171330,170895,21175,1270321,249707,18380086727633003632,13718339893164745814,16413500769206156053,11946084607545617579
202406270628,"2024-06-26 22:28:49.000000",170970,42802,171201,170970,21543,1275456,253621,7919089429423444970,7388137779728665664,18020465328862036742,16181988643918895726
202406270728,"2024-06-26 23:28:49.000000",171019,42802,171094,171019,21561,1260889,259327,16040667585662814733,7001195166235751131,18179272706466047843,3989839163464435829
202406270828,"2024-06-27 00:28:49.000000",171051,42802,171541,171051,21814,1241444,263229,6296685917211275192,12303412426575953656,4022634967930417225,2470186813835552437
202406270928,"2024-06-27 01:28:49.000000",171039,42802,170990,171039,21142,1241043,255678,8100753963008438808,13516913033028330968,8938977056083493299,15775723824379143753
202406271028,"2024-06-27 02:28:49.000000",170983,42802,170924,170983,21112,1238542,256525,14413929174255649424,15023440425915396476,2903861043691786615,8028925235433221223
202406271128,"2024-06-27 03:28:49.000000",171015,42802,170924,171015,21493,1239301,256751,4228147922057762027,893305655549525395,1506125104986285149,14877456771362916073
202406271228,"2024-06-27 04:28:49.000000",171034,42802,170898,171034,21383,1240167,251330,12362155698212314916,318796290299272752,16106968234669101007,2939605153233837085
202406271328,"2024-06-27 05:28:49.000000",170974,42802,170689,170974,21621,1239541,248382,10150880375851309897,3316662272462301519,6416832026264910834,11593119231922228822
202406271428,"2024-06-27 06:28:49.000000",170966,42802,171630,170966,20776,1244150,244239,5269734054848654738,15299785035546384694,6389241050728192242,13429729554943274172
202406271528,"2024-06-27 07:28:49.000000",170988,42802,170468,170988,20362,1248972,235786,17294772263592831232,16732919184736483464,14640720809149491665,7349616775586953577
202406271628,"2024-06-27 08:28:49.000000",170932,42802,171404,170932,20001,1251362,232737,11767384471374990999,17979094778418775725,1893808047278414351,14107380171233302259
202406272028,"2024-06-27 12:28:49.000000",171005,42802,170655,171005,21145,1236072,259717,9417273253472432850,14009222908893497210,953634140813904014,5526567321040317918
202406272128,"2024-06-27 13:28:49.000000",170964,42802,171526,170964,20812,1242772,250652,7144264782085234606,10699309220146254762,7446957541142305496,15378962377683375158
202406272228,"2024-06-27 14:28:49.000000",170828,42802,171456,170828,20679,1249417,240687,6040020954919094827,3985794537898633289,17132731011472381446,3251605463122500180
202406280228,"2024-06-27 18:28:49.000000",170887,42802,171005,170887,20883,1252287,239902,12325499660003519828,13698050696390173358,10792743495101636895,4454279437614427181
202406280328,"2024-06-27 19:28:49.000000",170938,42802,171337,170938,20810,1254829,238614,7272490956702739866,11140754824009543564,10991004402250478275,14163046246176115451
202406280428,"2024-06-27 20:28:49.000000",170885,42802,170957,170885,20993,1249996,244640,5457789207706495808,6060096503110877112,9857038092078260523,6514427772027846193
202406280828,"2024-06-28 00:28:49.000000",171048,42802,171256,171048,21633,1234101,265301,593251907640183932,9998421185968235936,6318971292052601350,8414552109354520876
202406280928,"2024-06-28 01:28:49.000000",171025,42802,170325,171025,21738,1229480,273623,11828929920716421141,9183033743070602889,15931235189943047864,13449362538228272198
202406281028,"2024-06-28 02:28:49.000000",170988,42802,171667,170988,21677,1249671,253628,16739221238227480308,14143069203233206830,3857276495136163345,6095392747628411027
202406281128,"2024-06-28 03:28:49.000000",170990,42802,170954,170990,21653,1245932,256018,4742189374039131767,6216383068642840113,7099616371997003434,7897417059829134650
202406281228,"2024-06-28 04:28:49.000000",170979,42802,171186,170979,21586,1240804,260874,12067270229019853839,10487151564416215921,31524176152257681,7884854871146880895
202406281328,"2024-06-28 05:28:49.000000",171039,42802,171360,171039,21614,1219329,283400,17920411142552327053,8616353136400539237,11861789455653102192,1613610498807262840
202406281428,"2024-06-28 06:28:49.000000",171044,42802,170281,171044,21887,1221825,280442,17699334884274518885,11820454881106881379,338696671328518223,5171741843345086041
202406281528,"2024-06-28 07:28:49.000000",171071,42802,171382,171071,21604,1232989,266763,14925690766233992997,1276885015623232175,12015534793331340390,7772157991778988756
202406281628,"2024-06-28 08:28:49.000000",170911,42802,170332,170911,21616,1247240,249584,16337068662904951601,15064842754761409561,11202609692102756781,4218416261393717189
202406281728,"2024-06-28 09:28:49.000000",170841,42802,170685,170841,21671,1243660,249729,8258150411182516067,12709357247391707133,2958283715845817325,281575851964058931
202406281828,"2024-06-28 10:28:49.000000",170911,42802,171726,170911,21551,1255094,239537,6610863196192064490,5850698815789781572,15678788737673453681,6465204947693574333
202406281928,"2024-06-28 11:28:49.000000",170911,42802,171234,170911,21157,1257016,234023,13912579146255594424,3305844176874913014,10479637433755277169,7783575140320720019
