score,bin_left,bin_right,x_mean,n,positive,proportion,CI_low,CI_high
power_availability,0.5411764705882353,0.5529411764705883,0.5460447405764084,3976,8,0.002012072434607646,0.0010199077479179086,0.003965582007388461
power_availability,0.5529411764705883,0.5647058823529412,0.5573994101687283,2672,45,0.016841317365269462,0.012610366346613971,0.022459521113031067
power_availability,0.5647058823529412,0.5764705882352941,0.5701317116037831,7075,51,0.007208480565371025,0.005487152728753078,0.009464652511751187
power_availability,0.5764705882352941,0.5882352941176471,0.5789057771811102,7986,89,0.011144502880040071,0.009065729096959548,0.013693353139890499
power_availability,0.5882352941176471,0.6,0.5927739388048627,2481,8,0.0032245062474808546,0.0016348126672136175,0.006350187241034406
power_availability,0.6,0.611764705882353,0.6034329996553761,5549,14,0.002522977112993332,0.0015035206277070937,0.004230743362508931
power_availability,0.611764705882353,0.6235294117647059,0.6155506396517074,3526,82,0.023255813953488372,0.01877569914436799,0.02877359188718142
power_availability,0.6235294117647059,0.6352941176470588,0.6297285791564323,6457,38,0.005885085953229054,0.004290794194313729,0.00806695507558829
power_availability,0.6352941176470588,0.6470588235294118,0.6378047425507756,3940,15,0.0038071065989847717,0.002308564081789979,0.00627227243865513
power_availability,0.6470588235294118,0.6588235294117647,0.6532308656318361,5482,106,0.01933600875592849,0.01601315189247196,0.02333203524807915
power_availability,0.6588235294117647,0.6705882352941176,0.6665164478892784,16980,229,0.013486454652532391,0.011858284469183852,0.015334707171752188
power_availability,0.6705882352941176,0.6823529411764706,0.6773384793229368,3256,15,0.004606879606879607,0.0027938657278578955,0.00758745472842493
power_availability,0.6823529411764706,0.6941176470588235,0.6906188882539903,5923,113,0.01907816984636164,0.01589320874277158,0.02288654610938997
power_availability,0.6941176470588235,0.7058823529411764,0.6986799492692545,6469,20,0.003091667954861648,0.0020023310443616693,0.004770808557404775
power_availability,0.7058823529411764,0.7176470588235294,0.7133833806079841,2667,34,0.01274840644919385,0.00913721673481966,0.017761219555148523
power_availability,0.7176470588235294,0.7294117647058823,0.7249730349485336,6528,34,0.005208333333333333,0.003729634412429455,0.0072690187657915755
power_availability,0.7294117647058823,0.7411764705882353,0.7327643472229514,8436,144,0.017069701280227598,0.014517309303598312,0.020061712144213734
power_availability,0.7411764705882353,0.7529411764705882,0.7488251637841836,10284,82,0.007973551147413457,0.006428885840441983,0.00988565978047527
power_availability,0.7529411764705882,0.7647058823529411,0.7578999342973529,3841,22,0.005727675084613382,0.0037855868580521286,0.008657438253149272
power_availability,0.7647058823529411,0.7764705882352941,0.7688135434005253,9973,122,0.012233029178782714,0.010255698482112646,0.014585977096642125
power_availability,0.7764705882352941,0.788235294117647,0.7843730515688484,5254,32,0.006090597639893415,0.0043176795951566736,0.008585231105370725
power_availability,0.788235294117647,0.8,0.7915843189436804,4406,19,0.004312301407172038,0.0027624993371009156,0.006725700910325581
power_availability,0.8,0.8117647058823529,0.8047906315675541,6774,144,0.021257750221434897,0.018084422724976325,0.024973748610809518
power_availability,0.8117647058823529,0.8235294117647058,0.816953617225101,7882,36,0.004567368688150216,0.003301062456568662,0.006316358742771047
power_availability,0.8235294117647058,0.8352941176470589,0.833076449785519,13951,231,0.01655795283492223,0.014569648213783006,0.018812419235377523
power_availability,0.8352941176470589,0.8470588235294118,0.8422371938107626,6764,168,0.024837374334713187,0.021389499154829274,0.028824658621838257
power_availability,0.8470588235294118,0.8588235294117647,0.8522903529160536,6233,67,0.01074923792716188,0.008473680993113138,0.013627483471432698
power_availability,0.8588235294117647,0.8705882352941177,0.8647627909241619,7542,63,0.008353221957040573,0.006534790289012764,0.01067223155596865
power_availability,0.8705882352941177,0.8823529411764706,0.8762116786498361,8260,118,0.014285714285714285,0.011943066599327302,0.017079931968087263
power_availability,0.8823529411764706,0.8941176470588235,0.8860960682616551,6556,259,0.03950579621720561,0.03505386825437892,0.04449705719047306
power_availability,0.8941176470588235,0.9058823529411765,0.898700203568825,6267,71,0.011329184617839477,0.00899203836156857,0.014265041215136486
power_availability,0.9058823529411765,0.9176470588235294,0.9103330165977759,7909,88,0.011126564673157162,0.009040570206107344,0.013687227356450813
power_availability,0.9176470588235294,0.9294117647058824,0.9233464340306546,4243,249,0.05868489276455338,0.05200401883251182,0.06616414536358005
power_availability,0.9294117647058824,0.9411764705882353,0.9344623659722991,8221,138,0.016786279041479137,0.014226386889027491,0.019797546608265562
power_availability,0.9411764705882353,0.9529411764705882,0.946780060249104,2467,79,0.032022699635184435,0.025770207202549224,0.03973033644541891
power_availability,0.9529411764705882,0.9647058823529412,0.9584417282305693,7928,412,0.05196770938446014,0.04729516097200841,0.057074229555847344
power_availability,0.9647058823529412,0.9764705882352941,0.9680297242038111,6796,223,0.03281341965862272,0.028834851437041203,0.03731984666068633
power_availability,0.9764705882352941,0.9882352941176471,0.9788094226313557,2264,80,0.0353356890459364,0.02848346735328382,0.04376208499052673
power_availability,0.9882352941176471,1.0,0.9999004001031163,83841,3855,0.04597989050703117,0.044582877581046274,0.047418506458891924
