ip,prefix24,oblast,power_availability,normal_availability,itdk_202408_T,own_traceroute_intermediate,first_seen,last_seen,intermediate_observation_n,terminal_non_target_observation_n,target_address_observation_n,hop_position_min,hop_position_max,frozen_own_traceroute_intermediate,rebuilt_own_traceroute_intermediate,caida_itdk_202408_transit
77.52.197.43,77.52.197.0,Dnipropetrovsk Oblast,0.9615384615384616,0.9807692307692307,1,1,2024-06-22 08:45:41.000000,2025-01-09 14:47:20.000000,110742,352213,65,6.0,11.0,1,1,1
77.52.198.153,77.52.198.0,Dnipropetrovsk Oblast,1.0,1.0,1,1,2024-06-22 10:37:33.000000,2025-01-08 14:33:28.000000,52,346,77,5.0,9.0,1,1,1
77.52.198.169,77.52.198.0,Zakarpattia Oblast,1.0,1.0,0,1,2024-06-22 08:37:16.000000,2025-01-09 03:33:33.000000,65,62,68,6.0,24.0,1,1,0
77.52.198.173,77.52.198.0,Dnipropetrovsk Oblast,1.0,1.0,0,1,2024-06-22 20:37:43.000000,2025-01-09 10:33:28.000000,44,67,62,5.0,9.0,1,1,0
77.52.198.177,77.52.198.0,Dnipropetrovsk Oblast,1.0,1.0,1,1,2024-06-24 07:33:25.000000,2025-01-09 14:52:29.000000,7825,835,68,6.0,26.0,1,1,1
77.52.198.178,77.52.198.0,Dnipropetrovsk Oblast,1.0,1.0,1,1,2024-08-04 10:33:24.000000,2025-01-09 14:52:29.000000,193,8454,57,7.0,11.0,1,1,1
77.52.198.233,77.52.198.0,Dnipropetrovsk Oblast,1.0,1.0,0,1,2024-06-23 03:33:24.000000,2025-01-09 05:33:29.000000,76,73,72,5.0,16.0,1,1,0
77.52.198.53,77.52.198.0,Zakarpattia Oblast,1.0,1.0,1,1,2024-06-22 09:00:27.000000,2025-01-09 14:51:13.000000,69855,4377,61,5.0,32.0,1,1,1
77.52.198.54,77.52.198.0,Zakarpattia Oblast,1.0,1.0,1,1,2024-06-22 09:00:27.000000,2024-10-20 19:33:25.000000,52877,6762,32,6.0,32.0,1,1,1
77.52.198.57,77.52.198.0,Zakarpattia Oblast,1.0,1.0,0,1,2024-06-22 09:37:37.000000,2025-01-07 16:33:28.000000,75,76,58,5.0,9.0,1,1,0
77.52.198.58,77.52.198.0,Zakarpattia Oblast,1.0,1.0,1,1,2024-07-05 15:33:24.000000,2025-01-09 14:51:13.000000,41107,4822,41,6.0,32.0,1,1,1
